dataset_key	pattern_layer	category	extraction_pattern	registry_prefix	mapping_type	mapping_source	registry_status	registry_name	registry_pattern	registry_deprecated	current_uri	review_note
medgen	excluded	Phenotype	^(?<id>CN?\d{4,7})$	medgen	direct	registry_prefix_match	found	MedGen	^[CN]*\d{4,7}$	False	http://identifiers.org/medgen/	
mesh	excluded	Phenotype	^(?<id>[CD]\d{6,9})$	mesh	direct	registry_prefix_match	found	MeSH	^(C|D|M)\d{6,9}$	False	http://identifiers.org/mesh/	
ncbigene	excluded	Gene	^(?<id>\d+)$	ncbigene	direct	registry_prefix_match	found	NCBI Gene	^\d+$	False	http://identifiers.org/ncbigene/	
oma_group	excluded	Ortholog	^(?<id>[A-Z]+)$	oma.grp	direct	reviewed_override	found	OMA Group	^[A-Z]+$	False	http://identifiers.org/oma.grp/	
oma_protein	excluded	Protein	^(?<id>[A-Z]{3}[A-Z0-9]{2}[0-9]{5,6})$	oma.protein	direct	reviewed_override	found	OMA Protein	^[A-Z0-9]{5}\d+$	False	http://identifiers.org/oma.protein/	
pathbank	excluded	Pathway	^(?<id>SMP\d+)$		not_registered	unresolved	not_checked					Reviewed: no corresponding Identifiers.org namespace
pdb	excluded	Structure	^(?<id>[0-9][A-Za-z0-9]{3})$	pdb	direct	explicit_pattern_uri	found	Protein Data Bank	^[0-9][A-Za-z0-9]{3}$	False	http://identifiers.org/pdb/	
pdb_ccd	excluded	Compound	^(?<id>(?:\w{5}|\w{1,3}))$	pdb-ccd	direct	reviewed_override	found	Chemical Component Dictionary	^(\w{5}|\w{1,3})$	False	http://identifiers.org/pdb-ccd/	
pubchem_compound	excluded	Compound	^(?:CID)?(?<id>\d+)$	pubchem.compound	direct	reviewed_override	found	PubChem-compound	^\d+$	False	http://identifiers.org/pubchem.compound/	
pubchem_substance	excluded	Compound	^(?:SID)?(?<id>\d+)$	pubchem.substance	direct	reviewed_override	found	PubChem-substance	^\d+$	False	http://identifiers.org/pubchem.substance/	
rfam	excluded	Transcript	^(?<id>RF\d{5})?$	rfam	direct	registry_prefix_match	found	RFAM	^RF\d{5}$	False	http://identifiers.org/rfam/	
rhea	excluded	Reaction	^(?<id>\d{5})$	rhea	direct	registry_prefix_match	found	Rhea	^\d{5}$	False	http://identifiers.org/rhea/	
sgd	excluded	Gene	^(?<id>S\d{9})$	sgd	direct	explicit_pattern_uri	found	SGD	^((S\d+$)|(Y[A-Z]{2}\d{3}[a-zA-Z](\-[A-Z])?))$	False	http://identifiers.org/sgd/	
sra_accession	excluded	Submission	^(?<id>[SED]RA\d+)$	insdc.sra	direct	reviewed_override	found	Sequence Read Archive	^[SED]R[APRSXZ]\d+$	False	http://identifiers.org/insdc.sra/	
sra_project	excluded	Project	^(?<id>[SED]RP\d+)$	insdc.sra	direct	reviewed_override	found	Sequence Read Archive	^[SED]R[APRSXZ]\d+$	False	http://identifiers.org/insdc.sra/	
sra_run	excluded	SequenceRun	^(?<id>[SED]RR\d+)$	insdc.sra	direct	reviewed_override	found	Sequence Read Archive	^[SED]R[APRSXZ]\d+$	False	http://identifiers.org/insdc.sra/	
sra_sample	excluded	Sample	^(?<id>[SED]RS\d+)$	insdc.sra	direct	reviewed_override	found	Sequence Read Archive	^[SED]R[APRSXZ]\d+$	False	http://identifiers.org/insdc.sra/	
taxonomy	excluded	Organism	^(?<id>\d+)$	taxonomy	direct	explicit_pattern_uri	found	Taxonomy	^\d+$	False	http://identifiers.org/taxonomy/	
uniprot	excluded	Protein	^(?:(?<id1>[A-NR-Z][0-9](?:[A-Z][A-Z0-9][A-Z0-9][0-9]){1,2}(?:-\d+)?)|(?<id2>[OPQ][0-9][A-Z0-9][A-Z0-9][A-Z0-9][0-9](?:-\d+)?)(?:\.\d+)?)$	uniprot	direct	registry_prefix_match	found	UniProt Knowledgebase	^([A-N,R-Z][0-9]([A-Z][A-Z, 0-9][A-Z, 0-9][0-9]){1,2})|([O,P,Q][0-9][A-Z, 0-9][A-Z, 0-9][A-Z, 0-9][0-9])(\.\d+)?(-\d+)?(#PRO_\d+)?$	False	http://identifiers.org/uniprot/	
uniprot_mnemonic	excluded	Protein	^(?<id>[A-Z0-9]+_[A-Z0-9]{0,5})$	uniprot	alias	reviewed_override	found	UniProt Knowledgebase	^([A-N,R-Z][0-9]([A-Z][A-Z, 0-9][A-Z, 0-9][0-9]){1,2})|([O,P,Q][0-9][A-Z, 0-9][A-Z, 0-9][A-Z, 0-9][0-9])(\.\d+)?(-\d+)?(#PRO_\d+)?$	False	http://identifiers.org/uniprot/	
uniprot_proteome	excluded	Proteome	^(?<id>UP\d{0,9})$		not_registered	unresolved	not_checked					Reviewed: no corresponding Identifiers.org namespace
wikipathways	excluded	Pathway	^(?<id>WP\d{1,5})(?:\_r\d+)?$	wikipathways	direct	registry_prefix_match	found	WikiPathways	^WP\d{1,5}(\_r\d+)?$	False	http://identifiers.org/wikipathways/	
